order_date,city,quantity,unit_price,total_revenue,age,category,hour,day_of_week,is_weekend,guessed_gender
2024-08-15 00:13:00,Kocaeli,1,12500.0,12500.0,21-30,Oven,0,Thursday,False,Female
2024-08-15 00:27:00,İzmir,1,2310.0,2310.0,,Toaster,0,Thursday,False,Female
2024-08-15 00:36:00,Artvin,1,1400.0,1400.0,,Mixer,0,Thursday,False,Female
2024-08-15 02:05:00,İstanbul,1,4427.0,4427.0,31-40,Oven,2,Thursday,False,Unknown
2024-08-15 06:29:00,Siirt,1,16792.0,16792.0,,Dishwasher,6,Thursday,False,Male
2024-08-15 09:58:00,Kocaeli,1,3732.0,3732.0,21-30,Blender,9,Thursday,False,Female
2024-08-15 11:16:00,Ordu,1,7500.0,7500.0,,Kitchen Robot,11,Thursday,False,Female
2024-08-15 12:00:00,Tokat,1,20899.0,20899.0,31-40,Dryer,12,Thursday,False,Female
2024-08-15 12:42:00,Konya,1,3999.0,3999.0,31-40,Blender,12,Thursday,False,Male
2024-08-15 13:20:00,Ankara,1,3732.0,3732.0,31-40,Blender,13,Thursday,False,Female
2024-08-15 13:39:00,Ankara,1,11773.0,11773.0,,Oven,13,Thursday,False,Male
2024-08-15 13:56:00,Sivas,1,16792.0,16792.0,,Dishwasher,13,Thursday,False,Male
2024-08-15 14:00:00,Konya,1,5307.0,5307.0,,Vacuum Cleaner,14,Thursday,False,Male
2024-08-15 14:10:00,İstanbul,1,21750.0,21750.0,51-60,Washing Machine,14,Thursday,False,Male
2024-08-15 15:19:00,Adıyaman,1,3732.0,3732.0,71+,Blender,15,Thursday,False,Male
2024-08-15 16:32:00,Antalya,1,24650.0,24650.0,41-50,Refrigerator,16,Thursday,False,Male
2024-08-15 19:29:00,Denizli,1,3419.0,3419.0,21-30,Kettle/Tea Maker,19,Thursday,False,Female
2024-08-15 21:16:00,İstanbul,1,4700.0,4700.0,,Oven,21,Thursday,False,Male
2024-08-15 21:57:00,Muğla,1,1330.0,1330.0,,Mixer,21,Thursday,False,Female
2024-08-15 22:53:00,Konya,1,4829.0,4829.0,,Kitchen Robot,22,Thursday,False,Female
2024-08-15 23:43:00,İstanbul,1,9250.0,9250.0,,Vacuum Cleaner,23,Thursday,False,Male
2024-08-16 00:12:00,Rize,1,25800.0,25800.0,,Refrigerator,0,Friday,False,Male
2024-08-16 11:15:00,Bartın,1,16792.0,16792.0,31-40,Dishwasher,11,Friday,False,Male
2024-08-16 21:21:00,Mersin,1,16792.0,16792.0,,Dishwasher,21,Friday,False,Male
2024-08-19 11:37:00,Antalya,1,17900.0,17900.0,,Dishwasher,11,Monday,False,Male
2024-08-19 11:55:00,Eskişehir,1,16797.0,16797.0,21-30,Dryer,11,Monday,False,Female
2024-08-19 13:18:00,Antalya,1,6983.0,6983.0,41-50,Extractor Hood,13,Monday,False,Female
2024-08-19 13:53:00,İstanbul,1,3999.0,3999.0,,Blender,13,Monday,False,Female
2024-08-19 13:57:00,İstanbul,1,7360.0,7360.0,71+,Vacuum Cleaner,13,Monday,False,Male
2024-08-19 14:02:00,Sivas,1,17870.0,17870.0,,Dishwasher,14,Monday,False,Male
2024-08-19 15:15:00,Kocaeli,1,1650.0,1650.0,41-50,Coffee Machine,15,Monday,False,Male
2024-08-19 16:32:00,Kocaeli,1,41865.0,41865.0,,Refrigerator,16,Monday,False,Female
2024-08-19 17:10:00,İstanbul,1,21750.0,21750.0,31-40,Washing Machine,17,Monday,False,Female
2024-08-19 17:12:00,Tekirdağ,1,1650.0,1650.0,51-60,Coffee Machine,17,Monday,False,Male
2024-08-19 23:27:00,Burdur,1,21043.0,21043.0,31-40,Washing Machine,23,Monday,False,Female
2024-08-20 00:10:00,İstanbul,1,16797.0,16797.0,0-20,Dryer,0,Tuesday,False,Female
2024-08-20 10:06:00,Eskişehir,1,1514.0,1514.0,,Coffee Machine,10,Tuesday,False,Male
2024-08-20 10:07:00,Van,1,3999.0,3999.0,,Blender,10,Tuesday,False,Female
2024-08-20 10:34:00,İzmir,1,1514.0,1514.0,21-30,Coffee Machine,10,Tuesday,False,Female
2024-08-20 13:33:00,Çorum,1,20899.0,20899.0,31-40,Dryer,13,Tuesday,False,Female
2024-08-20 13:34:00,Kayseri,1,1514.0,1514.0,,Coffee Machine,13,Tuesday,False,Male
2024-08-20 13:56:00,Muğla,1,16797.0,16797.0,41-50,Dryer,13,Tuesday,False,Female
2024-08-20 14:54:00,Kütahya,1,21750.0,21750.0,51-60,Washing Machine,14,Tuesday,False,Male
2024-08-20 16:28:00,Bilecik,1,13065.0,13065.0,31-40,Oven,16,Tuesday,False,Female
2024-08-20 16:49:00,Nevşehir,1,10900.0,10900.0,,Oven,16,Tuesday,False,Male
2024-08-20 17:09:00,Antalya,1,2250.0,2250.0,,Kettle/Tea Maker,17,Tuesday,False,Male
2024-08-20 17:50:00,İstanbul,2,2250.0,4500.0,21-30,Kettle/Tea Maker,17,Tuesday,False,Female
2024-08-20 19:37:00,Kütahya,1,26068.0,26068.0,31-40,Dryer,19,Tuesday,False,Male
2024-08-20 21:15:00,Edirne,1,7360.0,7360.0,31-40,Vacuum Cleaner,21,Tuesday,False,Female
2024-08-20 21:48:00,Niğde,1,37999.0,37999.0,,Refrigerator,21,Tuesday,False,Female
2024-08-20 22:25:00,Ankara,1,1850.0,1850.0,31-40,Kettle/Tea Maker,22,Tuesday,False,Female
2024-08-21 08:25:00,Muğla,1,1850.0,1850.0,31-40,Kettle/Tea Maker,8,Wednesday,False,Female
2024-08-21 13:24:00,Gaziantep,1,1350.0,1350.0,31-40,Mixer,13,Wednesday,False,Female
2024-08-21 13:49:00,Rize,1,8820.0,8820.0,31-40,Kitchen Robot,13,Wednesday,False,Male
2024-08-21 15:10:00,İstanbul,1,19763.0,19763.0,,Dishwasher,15,Wednesday,False,Male
2024-08-21 15:53:00,Sakarya,1,1350.0,1350.0,,Mixer,15,Wednesday,False,Male
2024-08-21 17:52:00,Manisa,1,11200.0,11200.0,,Oven,17,Wednesday,False,Male
2024-08-21 20:09:00,Manisa,1,10100.0,10100.0,31-40,Oven,20,Wednesday,False,Male
2024-08-21 20:27:00,Bartın,1,10100.0,10100.0,31-40,Oven,20,Wednesday,False,Female
2024-08-21 21:42:00,Tunceli,1,10900.0,10900.0,21-30,Oven,21,Wednesday,False,Female
2024-08-21 22:02:00,Ankara,1,10100.0,10100.0,21-30,Oven,22,Wednesday,False,Female
2024-08-22 09:39:00,İstanbul,1,6914.0,6914.0,41-50,Extractor Hood,9,Thursday,False,Female
2024-08-22 11:17:00,İstanbul,1,3547.0,3547.0,41-50,Blender,11,Thursday,False,Female
2024-08-22 12:26:00,İzmir,1,1850.0,1850.0,,Kettle/Tea Maker,12,Thursday,False,Male
2024-08-22 12:42:00,Antalya,1,6914.0,6914.0,31-40,Extractor Hood,12,Thursday,False,Female
2024-08-22 15:19:00,Rize,1,22750.0,22750.0,,Dishwasher,15,Thursday,False,Male
2024-08-22 17:58:00,Aksaray,1,5700.0,5700.0,41-50,Cooktop,17,Thursday,False,Male
2024-08-22 18:14:00,Hakkari,1,41865.0,41865.0,,Refrigerator,18,Thursday,False,Male
2024-08-22 18:16:00,Çanakkale,1,3547.0,3547.0,,Blender,18,Thursday,False,Female
2024-08-22 19:18:00,İzmir,1,1850.0,1850.0,31-40,Kettle/Tea Maker,19,Thursday,False,Male
2024-08-22 22:20:00,Kocaeli,1,14990.0,14990.0,,Washing Machine,22,Thursday,False,Male
2024-08-22 22:21:00,Aydın,1,18850.0,18850.0,71+,Dryer,22,Thursday,False,Male
2024-08-23 00:31:00,Hakkari,1,20999.0,20999.0,,Dishwasher,0,Friday,False,Male
2024-08-23 18:32:00,İzmir,1,8750.0,8750.0,,Washing Machine,18,Friday,False,Male
2024-08-23 18:44:00,İstanbul,1,6150.0,6150.0,0-20,Extractor Hood,18,Friday,False,Female
2024-08-23 19:51:00,Hakkari,1,14990.0,14990.0,31-40,Washing Machine,19,Friday,False,Male
2024-08-23 20:33:00,Ordu,1,15900.0,15900.0,31-40,Dishwasher,20,Friday,False,Female
2024-08-23 20:34:00,Sakarya,1,33900.0,33900.0,,Refrigerator,20,Friday,False,Male
2024-08-23 20:34:00,Niğde,1,18499.0,18499.0,21-30,Dryer,20,Friday,False,Female
2024-08-23 20:36:00,Hakkari,1,15900.0,15900.0,31-40,Dishwasher,20,Friday,False,Male
